id,label,C,P,I,K,D,Y,F,S,N,E,V,Q,R,L
Positive_37,1,1.829,6.098,1.22,2.744,5.183,1.829,3.963,5.488,1.524,7.012,9.756,2.439,7.012,12.805
Negative_59,0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,10.0,10.0,10.0
Negative_1157,0,2.759,16.552,1.379,1.379,1.379,0.0,2.069,6.207,2.069,3.448,3.448,5.517,18.621,8.276
Positive_644,1,2.038,5.435,2.31,4.212,5.027,5.027,4.348,6.114,3.397,9.647,6.25,5.163,5.978,10.326
Positive_379,1,1.604,4.412,3.476,8.824,6.15,3.075,4.412,6.417,3.743,8.957,5.749,4.412,5.348,10.16
Negative_13,0,3.448,8.621,5.172,5.172,3.448,3.448,1.724,8.621,3.448,5.172,0.0,6.897,5.172,6.897
Negative_745,0,2.778,4.444,2.778,3.889,4.444,1.667,2.778,10.0,2.778,5.556,8.889,3.333,5.556,18.333
Positive_295,1,1.355,7.317,4.336,6.504,5.962,2.71,4.607,9.756,2.981,8.943,5.691,3.794,6.775,6.233
Negative_1173,0,1.754,6.14,3.509,1.754,1.754,1.754,3.509,7.895,4.386,7.895,9.649,4.386,2.632,11.404
Negative_901,0,16.667,37.5,0.0,11.111,0.0,2.778,0.0,5.556,0.0,2.778,2.778,16.667,0.0,0.0
Positive_832,1,1.923,8.077,3.846,6.923,6.154,3.077,4.615,7.308,4.615,5.769,5.385,3.077,4.615,8.462
Positive_711,1,1.816,6.053,4.237,6.053,6.901,2.663,2.906,9.443,3.995,7.385,4.843,5.69,4.237,10.048
Positive_784,1,2.198,2.198,6.044,8.242,6.593,4.396,3.297,5.495,5.495,3.846,5.495,8.791,3.846,11.538
Positive_9,1,1.26,5.669,4.882,1.26,2.362,3.307,5.669,8.976,1.732,2.992,8.189,3.307,3.622,15.591
Negative_1007,0,2.355,6.138,3.569,5.282,3.498,2.926,2.641,9.993,6.495,5.282,5.139,6.138,3.355,10.064
Positive_377,1,1.104,5.688,4.754,4.754,5.178,2.801,4.414,4.669,3.226,6.706,8.489,3.905,6.112,8.913
Negative_1095,0,8.874,8.874,1.706,3.072,3.413,1.706,2.73,9.898,2.048,5.802,5.119,5.802,8.191,7.85
Negative_1100,0,4.02,7.538,2.513,3.015,5.528,1.508,0.503,6.533,2.01,7.035,3.518,8.04,6.533,12.563
Negative_338,0,9.756,6.098,6.098,10.976,0.0,6.098,3.659,4.878,4.878,7.317,9.756,4.878,4.878,4.878
Positive_65,1,2.733,9.003,3.859,6.913,5.305,3.376,3.537,7.878,3.698,7.717,5.145,4.18,2.09,9.003
Positive_1161,1,0.484,8.475,1.695,4.6,7.264,1.695,3.148,4.843,2.906,10.169,5.085,5.085,12.833,3.632
Positive_1133,1,0.862,6.897,8.621,6.034,6.034,1.724,1.724,5.172,3.448,4.31,6.897,6.034,5.172,8.621
Negative_643,0,4.065,5.691,3.252,4.878,6.504,0.813,5.691,7.317,4.065,8.13,7.317,4.065,6.504,10.569
Negative_1121,0,1.581,6.719,3.557,3.953,2.372,5.138,2.767,5.929,4.743,3.557,5.534,5.929,4.348,4.743
Positive_694,1,0.463,3.704,5.093,12.037,6.944,1.852,7.407,4.167,2.778,5.556,9.722,0.926,4.167,6.944
Negative_195,0,3.39,5.085,12.712,3.39,4.237,5.085,7.627,7.627,3.39,2.542,5.085,1.695,5.085,13.559
Positive_777,1,1.408,2.817,7.042,5.634,5.164,0.939,3.286,3.756,5.164,7.512,9.39,3.286,4.225,8.92
Negative_443,0,3.162,10.672,3.36,4.941,5.138,4.743,3.755,9.289,4.545,5.138,5.138,4.941,5.336,5.534
Positive_125,1,1.599,4.796,6.75,4.973,5.151,3.908,4.085,5.151,3.73,5.684,6.927,3.73,6.039,8.171
Positive_1138,1,2.108,4.53,4.821,6.686,5.063,2.859,4.748,7.922,3.706,7.171,6.056,4.554,5.208,12.839
Positive_943,1,2.912,3.207,5.857,7.003,5.105,3.141,4.025,7.657,4.483,7.624,5.857,5.039,4.974,12.729
Negative_85,0,8.333,7.576,0.758,2.273,3.788,1.515,2.273,3.788,1.515,6.818,3.03,6.061,9.091,15.909
Negative_1248,0,2.397,11.111,3.922,4.793,3.05,3.268,1.089,6.318,1.307,10.022,4.575,8.715,6.754,8.061
Positive_123,1,1.171,4.45,6.089,7.026,3.513,2.576,1.639,6.557,4.45,5.621,9.836,3.044,3.747,8.665
Negative_1045,0,4.575,6.245,3.558,7.407,5.882,3.341,3.922,9.586,5.737,6.391,5.955,5.519,3.558,7.262
Positive_185,1,1.98,4.95,6.931,7.723,7.129,3.564,5.347,7.723,3.168,6.931,4.752,4.752,3.762,10.297
Positive_1104,1,3.465,5.197,5.354,3.15,3.465,5.039,6.614,5.354,2.992,3.307,9.449,2.047,2.992,11.496
Negative_765,0,3.828,4.785,4.785,4.785,5.742,4.306,2.392,6.22,2.392,6.699,10.048,4.785,3.828,9.091
Positive_569,1,0.455,4.091,7.273,6.364,4.545,5.455,6.364,5.0,2.727,9.091,7.273,2.273,7.727,9.091
Negative_20,0,3.306,12.397,3.306,1.653,0.826,0.826,3.306,8.264,4.132,2.479,7.438,4.959,4.132,11.57
Positive_684,1,2.318,3.974,4.967,5.298,2.98,1.656,4.305,4.305,3.311,5.96,7.947,3.642,5.96,12.914
Negative_1042,0,4.509,5.836,4.244,3.714,2.387,5.305,4.775,6.101,3.979,2.122,8.488,2.387,7.958,12.202
Positive_514,1,2.74,4.84,6.575,7.032,6.027,2.648,4.018,7.763,4.84,8.128,5.114,4.201,5.114,8.95
Positive_293,1,1.823,4.834,5.309,6.577,5.468,4.12,4.596,5.705,4.2,7.607,8.003,3.803,5.071,10.935
Negative_1244,0,1.748,15.035,1.748,2.098,3.147,1.049,3.147,6.294,2.098,6.294,5.245,4.545,7.692,14.685
Negative_533,0,4.575,1.961,3.922,7.843,2.614,1.307,5.882,5.882,4.575,6.536,2.614,5.229,5.882,14.379
Positive_534,1,2.507,3.54,4.867,4.572,4.277,3.687,5.605,8.702,3.097,5.162,7.227,2.95,5.31,12.684
Negative_60,0,0.0,14.286,0.0,0.0,14.286,0.0,0.0,0.0,14.286,0.0,14.286,0.0,0.0,14.286
Positive_205,1,2.233,5.955,4.715,8.437,6.203,4.218,4.218,4.963,2.978,6.948,6.7,4.963,5.211,10.422
Negative_894,0,4.695,9.859,1.878,5.634,2.817,2.347,3.286,3.756,4.225,7.981,5.164,4.225,10.798,8.451
Negative_1266,0,3.158,8.684,2.632,1.579,2.5,1.842,3.289,6.974,0.789,4.474,6.974,5.0,6.184,16.974
Negative_824,0,2.913,7.767,1.942,9.709,0.971,3.883,3.883,4.854,2.913,0.971,7.767,1.942,10.68,14.563
Positive_224,1,0.836,8.361,4.181,5.686,5.518,2.843,2.174,10.033,3.679,7.692,5.184,4.348,6.856,8.194
Negative_766,0,2.949,4.826,5.63,4.021,4.021,3.753,2.949,7.239,4.558,3.485,7.507,5.362,3.485,9.383
Negative_648,0,6.102,8.268,3.346,6.299,3.15,2.165,3.15,7.48,5.118,8.661,3.937,4.331,2.756,10.827
Positive_634,1,1.501,5.573,4.394,4.073,5.895,3.537,4.073,6.967,2.465,5.681,6.002,3.644,7.503,12.004
Positive_548,1,2.874,5.747,6.897,3.161,1.149,5.46,8.621,4.885,4.598,4.598,8.621,3.448,2.011,8.333
Negative_1094,0,2.817,4.225,5.634,2.347,4.225,3.756,7.042,8.451,3.286,1.878,5.164,0.939,4.695,16.432
Positive_992,1,1.744,3.837,6.047,7.791,6.047,3.721,5.233,4.651,5.0,8.721,6.047,4.419,3.721,9.419
Positive_241,1,1.525,4.031,7.081,5.991,5.011,4.248,4.466,7.081,5.011,5.882,5.664,3.05,4.575,10.566
Positive_605,1,2.124,4.847,7.571,5.338,5.12,3.486,6.1,5.991,4.847,6.917,5.882,2.778,3.377,10.893
Positive_608,1,1.789,4.573,8.748,6.561,4.175,3.38,5.169,5.368,4.374,7.555,6.362,2.187,5.169,10.736
Negative_1115,0,1.02,9.524,0.68,3.401,4.762,0.68,1.361,9.184,1.02,8.503,3.401,2.381,8.163,16.327
Negative_317,0,1.894,5.303,8.712,3.788,6.818,4.167,3.788,8.712,3.03,4.924,11.742,4.545,5.303,6.061
Negative_1111,0,0.952,6.667,2.857,0.0,6.667,1.905,8.571,7.619,0.0,6.667,4.762,4.762,9.524,7.619
Positive_792,1,2.83,4.906,4.717,6.226,4.34,3.585,5.283,6.415,3.585,5.472,7.925,1.887,4.151,11.509
Positive_1075,1,0.61,4.878,3.659,7.317,6.098,5.488,3.049,3.049,3.049,6.098,1.829,7.317,7.927,13.415
Positive_890,1,0.173,5.699,5.181,4.663,4.836,2.936,3.109,4.836,3.8,4.491,9.499,4.491,7.081,8.636
Positive_1180,1,2.049,4.098,4.918,8.197,7.992,5.943,3.689,5.328,4.303,7.992,5.328,3.279,4.713,6.148
Negative_508,0,4.167,8.333,4.167,4.167,4.167,0.0,4.167,8.333,0.0,4.167,4.167,0.0,12.5,20.833
Negative_1270,0,2.494,8.163,8.844,2.494,4.082,3.855,5.442,5.215,2.721,3.175,5.896,2.948,7.029,11.565
Negative_730,0,1.832,5.759,3.403,6.152,2.749,2.749,2.487,10.34,3.534,7.853,6.021,3.927,5.366,9.293
Positive_519,1,2.537,3.171,7.188,4.228,3.805,4.228,8.668,6.342,2.96,4.228,6.765,2.748,5.285,9.725
Negative_628,0,0.541,9.73,2.703,6.486,9.189,0.541,3.243,7.027,5.405,6.486,7.027,1.622,2.703,7.568
Negative_260,0,1.473,6.262,3.131,2.762,4.972,1.657,6.262,6.998,4.42,4.236,7.919,4.972,8.103,11.234
Negative_83,0,3.109,5.181,6.995,2.85,3.886,3.109,8.29,6.995,2.073,5.959,5.699,2.85,4.663,10.622
Positive_552,1,0.478,6.22,13.397,9.569,7.656,3.828,2.871,3.349,8.612,4.785,6.22,2.871,1.435,5.742
Negative_639,0,4.152,6.92,1.73,1.384,1.384,2.768,7.266,6.574,2.076,1.384,9.343,2.076,6.228,19.377
Positive_236,1,0.535,6.417,4.813,9.091,4.813,3.209,4.813,6.417,5.348,8.556,7.487,3.743,4.278,10.16
Negative_311,0,1.295,11.14,0.518,0.518,1.554,0.777,1.295,8.29,0.0,4.922,5.44,4.404,4.404,20.207
Negative_756,0,1.55,8.066,3.381,5.741,4.65,1.127,1.62,13.878,3.311,6.904,5.671,3.91,5.671,8.313
Negative_869,0,3.906,3.906,6.25,10.156,6.25,0.781,0.0,8.594,3.125,4.688,3.906,3.906,4.688,15.625
Positive_763,1,1.422,4.739,6.635,2.607,6.161,2.607,2.133,4.502,4.028,5.45,9.242,4.265,6.872,10.427
Positive_1083,1,4.407,5.085,4.068,6.102,4.407,2.034,3.39,5.424,4.068,11.525,7.119,4.407,5.424,12.203
Positive_736,1,0.224,4.027,6.488,7.83,6.711,3.579,3.803,3.579,5.145,8.277,9.62,3.579,2.908,7.83
Positive_132,1,1.883,4.52,7.345,6.968,5.461,1.695,3.202,5.273,3.202,6.968,8.475,2.825,5.838,7.156
Positive_8,1,2.424,6.667,3.636,3.636,5.455,3.636,3.636,5.758,1.515,6.061,7.576,3.03,6.97,10.606
Negative_867,0,8.163,5.102,6.122,6.122,6.122,2.041,6.122,3.061,7.143,3.061,8.163,4.082,2.041,12.245
Negative_610,0,2.597,8.658,4.762,4.762,3.463,1.299,3.03,5.628,2.597,5.195,6.926,2.165,3.463,11.255
Positive_400,1,0.606,3.03,3.03,7.273,3.636,1.818,3.636,3.636,1.818,9.091,9.091,1.818,7.273,9.091
Positive_357,1,2.097,4.677,6.452,3.387,3.71,3.871,7.097,7.742,2.903,3.387,9.355,2.419,3.226,11.613
Negative_220,0,2.222,12.593,3.333,2.963,6.667,2.963,2.963,5.556,1.852,6.296,4.074,4.074,7.778,10.741
Positive_1212,1,2.526,4.0,5.474,5.895,5.895,2.316,4.421,9.263,5.053,5.053,7.368,4.632,3.789,11.789
Positive_45,1,0.837,7.95,2.929,1.674,5.021,3.347,5.021,6.276,2.51,4.184,6.695,2.51,7.113,9.205
Negative_856,0,1.671,6.267,3.9,4.039,3.76,1.671,2.089,11.003,4.457,5.571,3.9,7.521,6.128,11.142
Negative_660,0,2.315,3.704,5.093,3.241,3.241,3.858,5.401,8.179,3.858,5.401,6.944,3.241,4.938,10.957
Positive_905,1,1.687,4.639,6.484,4.006,4.692,5.693,6.168,6.747,4.112,5.377,5.113,3.585,6.326,9.172
Positive_6,1,4.18,5.305,3.537,4.662,5.627,3.376,3.376,6.109,4.019,8.199,5.949,4.18,7.074,8.199
Positive_678,1,3.238,4.0,6.286,4.19,3.429,3.048,6.286,6.476,3.048,4.952,8.381,2.667,3.238,12.0
Negative_297,0,4.989,6.122,4.535,5.215,4.989,4.082,3.628,9.07,3.401,6.803,5.215,5.896,6.122,11.111
Negative_1185,0,0.0,18.657,0.746,0.746,7.463,0.746,4.478,8.955,2.985,3.731,4.478,11.194,9.701,9.701
Negative_687,0,17.172,8.081,0.0,2.02,1.01,0.0,2.02,25.253,2.02,0.0,1.01,6.061,10.101,0.0
Positive_940,1,0.353,6.537,7.42,9.717,4.77,3.887,2.473,3.357,3.357,8.304,7.067,6.537,3.71,8.834
Positive_335,1,2.737,5.292,4.38,6.387,5.839,4.197,4.197,5.109,3.65,8.942,6.387,3.467,6.934,9.854
Negative_1109,0,4.194,10.323,1.935,2.581,5.806,2.258,2.581,6.774,5.161,3.871,4.516,2.581,8.387,13.226
Positive_824,1,1.709,5.983,3.419,4.274,5.983,0.855,3.419,3.419,0.855,8.547,5.128,5.128,6.838,9.402
Negative_125,0,2.135,8.066,2.491,6.168,4.152,3.203,2.847,9.727,2.372,8.185,4.626,4.389,6.406,8.185
Negative_903,0,15.068,39.726,0.0,9.589,1.37,5.479,0.0,2.74,0.0,4.11,2.74,13.699,0.0,1.37
Positive_1053,1,1.679,5.97,2.985,5.784,3.918,4.291,3.918,6.903,3.358,7.836,5.597,4.291,5.97,9.142
Negative_194,0,2.033,12.602,2.033,0.813,3.252,1.626,3.252,6.911,1.22,4.472,4.878,5.691,4.472,17.073
Negative_327,0,8.955,4.478,5.97,8.955,0.0,4.478,4.478,2.985,1.493,2.985,5.97,2.985,11.94,13.433
Positive_198,1,2.105,4.211,5.263,7.368,4.632,3.579,4.421,9.053,4.211,6.526,7.368,2.737,4.632,8.0
Negative_196,0,2.45,8.241,5.568,4.009,4.9,2.45,3.786,7.572,2.895,4.009,6.904,4.9,5.122,15.813
Negative_641,0,2.128,5.957,2.128,5.532,1.702,5.106,4.255,6.809,4.255,7.234,7.66,5.957,4.255,5.957
Negative_275,0,1.515,11.364,1.515,1.515,2.273,2.273,3.788,7.576,3.03,5.303,3.788,3.03,8.333,17.424
Positive_922,1,1.871,5.614,5.965,4.094,6.316,3.743,4.912,7.836,4.561,5.965,6.433,3.977,5.029,9.123
Negative_611,0,2.247,7.865,5.243,5.993,2.622,1.873,4.12,7.865,2.622,3.371,7.116,5.618,2.622,13.858
Positive_697,1,1.913,6.27,7.226,5.739,4.251,3.294,4.145,7.014,4.888,4.888,5.845,4.463,4.995,10.521
Positive_384,1,1.795,5.128,8.462,3.846,4.103,1.795,4.615,6.923,2.308,5.641,7.436,3.077,6.41,10.769
Positive_528,1,1.242,7.675,3.047,3.047,5.079,1.919,2.709,9.932,3.047,8.691,5.079,5.418,5.982,10.158
Positive_737,1,0.621,2.484,5.59,8.075,4.969,1.242,4.969,6.211,4.969,6.832,9.938,7.453,1.242,9.938
Positive_709,1,2.075,4.357,4.772,8.299,6.846,5.809,4.149,5.602,4.564,9.959,5.602,3.112,4.564,6.432
Positive_906,1,1.333,4.733,6.6,6.933,5.0,2.533,4.133,6.733,4.867,6.467,8.133,3.267,3.8,8.733
Positive_829,1,0.172,5.852,4.647,6.54,4.991,2.926,3.614,5.336,3.959,6.196,7.745,3.614,6.368,9.639
Negative_811,0,6.061,6.887,2.479,4.408,4.959,1.928,3.03,8.54,3.581,7.989,6.612,7.163,5.785,8.815
Positive_1163,1,0.0,6.481,5.864,3.086,3.704,2.469,2.469,1.852,0.617,11.111,5.556,2.16,10.185,16.049
Positive_76,1,4.0,5.333,5.867,8.533,4.533,1.6,4.267,5.6,3.2,5.067,10.4,1.6,2.933,7.733
Negative_1249,0,2.941,6.373,3.922,6.373,6.373,1.471,2.941,5.392,1.471,5.392,10.294,3.431,3.431,12.255
Positive_78,1,2.296,7.307,5.846,5.219,1.67,3.132,4.384,6.889,5.428,3.34,8.768,3.132,5.637,8.977
Positive_923,1,1.584,4.356,5.545,5.545,5.347,4.752,4.554,7.525,4.356,7.129,4.95,5.545,5.941,10.099
Positive_559,1,2.581,4.839,4.194,6.774,4.516,5.0,4.355,7.258,4.516,8.387,7.419,3.387,6.29,9.194
Positive_521,1,2.571,5.277,6.901,7.037,4.33,2.3,2.977,10.149,3.654,8.525,7.442,3.518,3.112,9.608
Negative_1028,0,1.667,14.444,2.222,3.889,7.222,5.556,3.333,6.667,7.778,3.333,5.0,2.222,6.667,5.0
Positive_331,1,1.342,2.349,5.705,7.718,5.369,4.362,7.047,4.698,2.349,2.013,8.389,4.362,5.705,7.383
Negative_1241,0,0.41,15.574,2.049,1.23,0.41,9.836,1.639,7.787,4.918,1.23,5.328,6.148,2.049,3.279
Positive_487,1,1.046,4.837,4.706,17.516,7.451,2.745,3.399,4.052,4.706,11.111,3.922,3.399,5.49,6.144
Negative_453,0,4.4,8.0,1.6,4.0,4.0,3.2,4.0,4.4,4.4,7.2,7.2,5.2,3.2,16.4
Positive_371,1,1.935,5.161,3.871,7.742,4.516,5.161,3.871,6.452,5.161,7.742,3.226,3.871,3.871,11.613
Positive_1215,1,1.741,5.063,5.696,3.165,6.171,4.589,5.222,9.019,4.43,5.538,7.12,3.481,5.538,9.652
Positive_410,1,2.483,5.241,4.966,5.655,5.655,2.069,4.414,8.0,2.345,6.483,7.172,5.379,4.69,12.138
Negative_1067,0,1.456,7.767,0.485,6.796,5.34,0.485,1.942,10.68,0.0,0.485,12.136,2.427,9.223,7.282
Positive_159,1,0.0,4.854,8.738,4.854,7.767,0.971,1.942,1.942,1.942,5.825,8.738,5.825,11.65,9.709
Negative_959,0,1.418,7.801,5.674,2.837,3.546,1.418,2.128,9.22,3.546,9.929,4.965,0.709,8.511,10.638
Negative_578,0,2.158,5.036,3.837,4.317,3.597,2.398,4.317,10.072,6.715,3.357,7.194,2.878,4.556,11.031
Positive_382,1,1.717,6.438,5.15,3.433,3.004,3.004,4.292,8.584,3.004,6.867,6.867,5.579,6.009,12.876
Positive_60,1,3.636,4.091,5.909,2.5,2.955,2.727,5.909,7.955,3.864,5.0,7.045,4.545,5.909,14.318
Negative_918,0,3.125,7.422,1.172,8.984,7.031,3.125,3.516,5.859,0.781,8.203,4.297,4.688,10.938,8.594
Negative_414,0,4.698,4.698,3.893,4.295,6.577,1.879,3.221,10.067,4.698,6.174,6.98,4.698,4.698,10.067
Negative_665,0,2.691,5.83,5.381,5.381,4.709,2.242,3.812,8.969,3.363,6.951,7.848,4.26,4.709,7.623
Negative_1252,0,2.105,5.263,3.158,5.263,5.263,4.211,4.211,12.632,1.053,4.211,2.105,6.316,5.263,6.316
Negative_830,0,7.937,4.762,1.587,3.175,7.143,1.587,5.556,7.937,3.175,6.349,9.524,5.556,5.556,3.968
Positive_485,1,0.849,7.006,5.096,6.157,8.705,4.459,6.794,6.369,3.822,5.732,4.246,1.699,4.034,9.13
Positive_527,1,1.168,4.088,6.277,4.964,6.861,4.526,5.109,7.737,6.569,5.401,5.255,3.942,4.818,8.759
Negative_202,0,2.174,8.696,2.174,2.174,0.0,2.174,2.174,16.304,1.087,4.348,5.435,6.522,4.348,15.217
Positive_96,1,2.761,6.748,9.509,4.601,2.761,3.681,5.828,5.521,3.681,3.374,9.816,2.454,3.681,12.577
Negative_919,0,2.597,10.39,3.896,11.688,2.597,0.0,1.299,6.494,0.0,12.987,3.896,5.195,7.792,6.494
Negative_957,0,3.761,7.782,2.594,1.427,3.632,3.761,4.021,9.339,2.983,3.243,8.301,4.021,5.707,12.322
Positive_138,1,0.896,4.179,6.866,10.746,6.269,3.582,4.179,6.269,3.582,8.06,5.373,3.881,5.672,7.761
Negative_531,0,4.779,6.618,3.309,4.044,2.574,2.941,2.941,7.353,1.838,8.456,4.779,7.721,5.882,6.618
Negative_197,0,1.695,7.91,2.26,2.825,2.825,2.26,1.695,11.299,3.39,4.52,7.91,4.52,10.169,9.605
Positive_455,1,1.79,4.177,6.802,7.1,4.952,4.952,4.236,8.174,4.535,6.504,7.995,3.938,3.341,9.129
Positive_396,1,1.965,3.34,7.466,7.466,4.322,2.161,3.143,5.501,4.126,6.09,8.841,2.947,3.34,7.073
Positive_301,1,1.544,5.212,6.95,5.985,4.44,2.51,5.405,5.405,4.44,7.143,7.143,4.054,4.633,6.95
Positive_273,1,2.669,4.517,5.749,6.776,4.107,3.696,4.928,8.83,3.901,4.312,6.366,3.285,5.544,11.294
Negative_1253,0,1.724,12.931,4.31,5.172,0.862,4.31,0.862,6.897,0.862,2.586,6.897,2.586,4.31,6.034
Positive_278,1,0.763,4.326,5.344,8.397,4.835,4.071,5.089,5.089,4.326,8.397,7.634,4.835,4.071,8.142
Negative_724,0,1.607,9.464,3.214,3.393,5.357,2.679,3.393,8.036,2.321,3.929,7.143,5.357,5.714,10.714
Negative_358,0,2.277,7.97,2.751,5.123,6.167,2.846,2.182,12.334,2.277,7.116,3.89,5.503,7.116,7.685
Negative_621,0,2.367,5.917,6.213,7.692,3.846,1.479,3.55,6.509,3.846,4.734,8.876,2.663,2.959,9.172
Positive_280,1,0.405,6.757,3.378,4.73,6.757,2.838,3.514,4.865,3.784,5.946,6.892,2.838,4.865,8.378
Positive_574,1,1.878,4.225,5.164,5.634,7.512,4.695,7.981,7.042,5.634,4.695,7.512,4.695,4.225,9.39
Negative_1061,0,1.786,14.286,5.357,0.0,3.571,0.0,5.357,8.929,0.0,3.571,3.571,5.357,12.5,8.929
Positive_164,1,0.84,9.244,6.723,5.042,5.882,7.563,7.563,1.681,1.681,7.563,1.681,0.84,10.924,12.605
Positive_971,1,0.59,5.31,5.015,6.195,7.375,3.835,5.015,6.785,2.95,7.08,6.785,4.13,7.965,11.209
Positive_240,1,2.576,5.797,3.865,3.462,5.636,4.267,4.831,8.213,3.221,5.314,10.145,3.14,7.407,7.568
Positive_436,1,3.556,4.0,5.778,8.0,7.556,4.444,6.667,4.889,4.444,7.556,2.667,4.889,4.889,11.556
Negative_945,0,2.978,5.459,3.97,3.226,5.459,1.737,3.97,6.452,2.481,4.467,6.7,3.97,6.452,10.67
Positive_298,1,2.002,3.458,8.098,5.914,4.095,3.094,5.46,6.915,5.641,5.732,7.279,2.73,3.913,9.099
Negative_243,0,1.149,11.494,5.747,9.195,3.448,1.149,5.747,2.299,2.299,6.897,4.598,5.747,5.747,5.747
Positive_615,1,0.498,4.975,4.975,7.463,7.96,3.98,2.488,9.95,1.99,9.453,5.473,1.493,4.478,9.95
Positive_513,1,2.817,5.634,5.634,9.859,4.225,1.408,4.225,5.634,5.634,8.451,4.225,2.817,4.225,8.451
Positive_402,1,1.77,4.646,5.973,6.637,6.195,3.54,6.858,6.637,4.867,3.982,5.752,3.761,5.752,9.956
Positive_228,1,1.531,6.378,5.612,5.357,4.847,3.316,2.551,6.378,2.551,4.337,5.867,4.337,4.847,13.52
Positive_882,1,0.984,8.525,4.262,6.885,5.574,3.934,3.607,4.59,2.295,3.607,7.541,3.607,5.574,14.098
Negative_717,0,0.89,7.651,1.246,4.626,3.559,1.246,7.651,14.591,4.982,2.135,5.694,6.94,1.957,4.27
Negative_931,0,3.241,6.019,4.63,4.63,3.241,0.926,3.241,10.185,4.63,4.63,5.556,6.019,4.167,12.037
Negative_442,0,6.087,6.957,2.029,1.449,6.377,2.609,1.449,6.377,2.319,4.928,2.609,2.899,7.826,11.014
Negative_781,0,2.93,7.324,4.59,8.008,3.516,1.465,2.344,7.91,2.637,7.52,4.883,5.078,6.934,8.984
Positive_997,1,0.746,8.06,4.627,5.224,4.328,2.537,2.09,10.448,5.821,5.97,7.164,6.716,5.522,9.552
Positive_1015,1,1.33,3.769,4.213,4.656,5.543,3.769,5.322,5.987,3.104,6.208,7.095,5.765,6.652,10.643
Negative_76,0,2.529,6.897,4.138,5.977,4.138,3.448,3.678,6.207,3.448,6.897,6.897,4.598,4.598,9.885
Positive_358,1,1.916,5.364,5.556,6.513,4.023,2.49,3.065,6.513,3.257,5.747,8.429,2.107,4.598,8.238
Positive_465,1,1.054,5.097,5.624,3.691,4.042,2.988,3.691,6.503,3.866,5.448,8.612,4.394,5.448,9.49
Positive_1066,1,2.356,4.974,5.759,7.33,4.712,4.188,5.497,9.686,4.188,4.712,6.806,4.712,4.45,8.901
Positive_95,1,0.826,3.778,6.494,7.674,6.257,4.132,4.723,4.132,5.903,6.966,6.848,3.424,5.195,9.917
Negative_1310,0,1.689,6.419,5.743,3.378,5.405,2.703,5.405,5.405,4.392,4.054,3.716,3.041,8.784,10.811
Positive_674,1,1.572,7.739,3.144,3.99,3.507,3.748,5.925,8.706,1.935,5.2,5.804,5.441,5.079,14.027
Negative_383,0,3.571,6.696,5.357,4.018,5.357,4.018,3.125,7.589,1.786,4.464,4.911,8.929,5.804,9.375
Positive_1002,1,1.742,4.354,6.531,12.772,6.386,3.774,3.774,5.08,4.064,8.563,6.241,3.919,5.37,5.66
Negative_398,0,2.182,7.06,3.466,6.033,3.594,2.567,2.182,12.195,4.108,5.263,4.878,9.884,4.236,10.526
Positive_912,1,0.967,1.519,3.453,13.536,4.006,1.381,2.21,7.044,5.249,15.193,3.453,8.84,3.729,13.812
Negative_449,0,1.63,7.745,7.065,4.62,6.522,1.087,1.902,6.929,2.853,6.793,7.88,3.397,5.435,9.375
Positive_199,1,0.249,5.473,3.731,4.726,4.975,2.239,6.219,6.965,3.234,4.726,8.706,5.473,4.478,10.448
Positive_974,1,2.832,3.803,6.149,5.016,5.502,2.832,5.178,10.437,5.34,4.612,6.23,3.155,4.693,10.275
Positive_1191,1,2.096,3.593,8.683,3.593,2.395,5.988,7.485,6.886,7.186,2.695,7.186,2.096,4.192,15.569
Negative_618,0,3.351,9.021,3.351,4.639,2.577,2.062,3.093,5.155,5.155,3.608,6.186,6.701,4.639,7.216
Negative_997,0,2.143,9.286,4.643,6.071,3.214,1.429,1.429,11.429,3.214,8.214,6.429,5.714,7.143,7.143
Negative_917,0,1.651,7.706,3.119,2.936,5.321,2.752,2.385,6.789,3.119,6.422,9.358,4.771,6.239,9.174
Positive_121,1,1.751,4.086,5.447,8.755,6.615,2.918,4.28,5.642,3.502,9.339,7.004,4.086,6.031,9.144
Positive_245,1,0.839,4.193,3.983,4.822,4.403,2.725,5.87,6.289,2.935,5.451,5.241,5.241,6.499,13.627
Negative_833,0,6.897,6.897,8.621,10.345,6.897,5.172,1.724,1.724,1.724,6.897,5.172,6.897,12.069,1.724
Negative_101,0,2.597,10.39,0.0,2.597,2.597,0.0,2.597,5.195,5.195,1.299,5.195,5.195,12.987,16.883
Positive_1013,1,0.621,6.418,4.141,7.039,5.383,5.383,6.004,7.039,3.52,4.969,6.004,3.106,4.762,7.039
Negative_1146,0,3.661,6.407,4.119,3.432,4.119,4.577,3.89,7.094,2.059,6.865,5.492,5.721,4.119,11.67
Negative_1150,0,2.31,6.931,3.3,1.65,5.281,3.3,4.29,7.591,1.98,5.611,6.271,5.941,8.251,11.221
Positive_1195,1,1.17,5.653,7.018,7.018,6.238,4.094,8.187,4.873,3.899,4.678,4.483,3.314,5.263,8.187
Positive_861,1,0.0,2.782,5.564,8.655,6.646,3.091,3.709,4.482,5.41,7.573,6.646,2.473,4.946,8.964
