id,label,_NormalizedVDWVC1,_PolarityC2,_NormalizedVDWVT23,_HydrophobicityC2,_NormalizedVDWVC3,_ChargeC3,_ChargeD2001,_SolventAccessibilityD3001,_HydrophobicityD3001,_PolarityD1001,_HydrophobicityT13,_SecondaryStrD1001,_SecondaryStrC2,_PolarizabilityC3,_SolventAccessibilityC3,_PolarizabilityT13,_PolarizabilityD3001,_NormalizedVDWVC2,_PolarityT13,_NormalizedVDWVD3001,_PolarizabilityC2,_PolarityD3001,_ChargeT23,_SecondaryStrD2001,_ChargeC2,_SolventAccessibilityC2,_SecondaryStrT12,_PolarizabilityD2001,_SolventAccessibilityT12,_SolventAccessibilityD2001,_ChargeT13,_SecondaryStrC3,_SolventAccessibilityD1001,_NormalizedVDWVD1001,_HydrophobicityC1,_NormalizedVDWVD2001,_PolarityC1,_SecondaryStrT13,_SecondaryStrT23,_PolarityC3,_HydrophobicityD2001,_HydrophobicityD1001,_PolarizabilityC1,_ChargeD1075,_HydrophobicityC3,_SolventAccessibilityT13,_ChargeD3001,_SecondaryStrD3001,_PolarityD2001,_PolarityT23,_ChargeD1050,_SecondaryStrD1075,_SolventAccessibilityC1,_PolarizabilityD1001,_ChargeT12,_SecondaryStrC1,_ChargeD1025,_ChargeD3100,_PolarityD1025,_ChargeC1,_SecondaryStrD2075,_PolarityT12,_ChargeD3075,_PolarizabilityT23,_SecondaryStrD2025,_NormalizedVDWVD3050,_ChargeD3050,_SecondaryStrD3050,_ChargeD3025,_NormalizedVDWVD3025,_HydrophobicityT12,_PolarityD1050,_SolventAccessibilityD2075,_PolarizabilityD3075,_PolarizabilityD1050,_SolventAccessibilityD1025,_SolventAccessibilityT23,_SolventAccessibilityD1075,_PolarityD2050,_PolarityD1075,_PolarizabilityT12,_ChargeD1001,_PolarizabilityD3050,_HydrophobicityD3025,_SecondaryStrD2050,_ChargeD2075,_SecondaryStrD3025,_PolarizabilityD3025,_SecondaryStrD3075,_SolventAccessibilityD3025,_PolarizabilityD2075,_NormalizedVDWVD1075,_NormalizedVDWVD2050,_SecondaryStrD1050,_PolarityD3075,_PolarityD2025,_PolarizabilityD2050,_HydrophobicityT23,_NormalizedVDWVD3075,_HydrophobicityD3075,_PolarizabilityD2025,_HydrophobicityD3050
Negative_941,0,0.395,0.299,0.183,0.385,0.256,0.127,0.253,0.253,0.253,0.253,0.19,0.253,0.301,0.256,0.299,0.14,0.253,0.349,0.256,0.253,0.451,0.506,0.185,2.025,0.765,0.286,0.249,0.759,0.244,0.506,0.023,0.261,2.785,0.506,0.286,0.759,0.365,0.221,0.124,0.337,1.266,0.506,0.294,52.152,0.329,0.277,0.506,0.506,1.266,0.185,29.367,69.873,0.415,0.506,0.16,0.438,11.139,95.443,26.329,0.109,78.734,0.226,70.127,0.223,26.835,40.253,35.949,54.937,9.114,15.696,0.206,52.405,67.848,69.62,50.633,28.861,0.152,79.241,53.671,78.987,0.302,1.772,40.253,26.329,52.405,76.709,30.633,15.696,72.658,31.392,78.481,75.696,47.089,42.532,70.633,31.392,52.658,0.277,69.62,78.481,26.076,51.899
Negative_435,0,0.539,0.438,0.085,0.472,0.169,0.118,0.562,0.562,0.562,0.562,0.119,0.562,0.303,0.169,0.388,0.119,0.562,0.292,0.13,0.562,0.416,3.371,0.169,4.494,0.787,0.281,0.249,1.685,0.181,3.371,0.011,0.32,2.809,1.124,0.281,3.933,0.258,0.215,0.181,0.303,1.124,3.371,0.416,92.697,0.247,0.181,14.607,1.124,1.124,0.294,70.225,80.337,0.331,1.124,0.153,0.376,25.281,78.09,13.483,0.096,76.404,0.158,65.169,0.141,23.596,72.472,49.438,46.067,29.775,28.652,0.294,60.112,74.719,80.899,46.067,18.539,0.232,84.831,42.135,85.393,0.333,3.371,72.472,13.483,48.876,72.472,19.663,28.652,65.169,21.348,75.281,65.169,44.382,52.247,74.719,20.225,44.382,0.169,80.899,85.955,24.157,60.112
Positive_259,1,0.419,0.371,0.182,0.431,0.24,0.09,0.135,0.135,0.135,0.135,0.164,0.135,0.264,0.24,0.24,0.162,0.135,0.342,0.205,0.135,0.412,0.269,0.156,0.538,0.828,0.25,0.232,0.269,0.247,0.269,0.013,0.272,0.404,0.404,0.25,0.269,0.359,0.222,0.168,0.269,0.404,0.269,0.349,78.062,0.319,0.221,0.269,1.48,0.404,0.191,58.008,77.254,0.51,0.404,0.14,0.464,20.054,97.577,25.976,0.082,72.275,0.261,79.004,0.21,25.976,50.74,51.952,50.606,25.303,27.322,0.224,49.798,80.888,74.966,46.164,21.669,0.142,72.948,45.76,75.505,0.291,3.634,50.74,25.976,46.703,73.62,26.245,27.322,71.602,29.475,76.581,71.063,51.952,50.875,79.004,19.919,51.009,0.272,74.966,73.082,26.783,48.587
Positive_730,1,0.394,0.341,0.171,0.367,0.207,0.147,0.213,0.213,0.213,0.213,0.248,0.213,0.186,0.207,0.2,0.169,0.213,0.399,0.269,0.213,0.418,0.853,0.235,0.64,0.723,0.375,0.205,0.64,0.365,2.772,0.015,0.281,0.64,0.426,0.375,0.64,0.277,0.271,0.107,0.382,0.426,2.772,0.375,72.921,0.258,0.165,13.859,0.426,0.426,0.233,45.629,73.987,0.424,0.426,0.233,0.533,23.454,100.0,23.667,0.13,65.672,0.19,71.002,0.179,22.388,44.35,50.107,48.827,36.461,23.454,0.254,46.482,70.576,70.576,53.731,22.601,0.137,76.759,52.878,71.642,0.295,2.772,44.35,23.667,44.563,76.972,17.271,23.454,86.354,14.286,70.789,82.303,48.827,53.092,70.149,15.778,47.974,0.186,70.576,70.789,25.586,45.842
Negative_1009,0,0.309,0.272,0.2,0.346,0.296,0.012,1.235,1.235,1.235,1.235,0.062,1.235,0.457,0.296,0.272,0.138,1.235,0.395,0.113,1.235,0.519,4.938,0.025,3.704,0.938,0.123,0.275,7.407,0.1,37.037,0.0,0.222,2.469,2.469,0.123,7.407,0.58,0.163,0.175,0.148,2.469,37.037,0.185,85.185,0.531,0.35,87.654,6.173,2.469,0.113,41.975,77.778,0.605,2.469,0.1,0.321,37.037,87.654,20.988,0.049,62.963,0.375,87.654,0.25,23.457,41.975,87.654,39.506,87.654,20.988,0.113,49.383,85.185,85.185,38.272,23.457,0.075,66.667,39.506,66.667,0.237,37.037,41.975,20.988,46.914,72.84,22.222,20.988,75.309,11.111,74.074,59.259,51.852,65.432,86.42,17.284,54.321,0.425,85.185,65.432,29.63,46.914
Positive_423,1,0.345,0.294,0.214,0.364,0.269,0.124,0.243,0.243,0.243,0.243,0.221,0.243,0.289,0.269,0.243,0.163,0.243,0.386,0.268,0.243,0.447,0.971,0.187,1.699,0.748,0.333,0.258,1.699,0.307,0.971,0.027,0.26,1.214,0.485,0.333,1.699,0.35,0.258,0.165,0.357,0.485,0.971,0.284,74.515,0.303,0.204,3.883,0.485,0.485,0.197,48.301,75.243,0.425,0.485,0.2,0.451,24.272,97.33,21.602,0.129,75.0,0.197,73.544,0.236,23.786,48.301,47.573,48.058,17.233,26.214,0.219,50.0,74.757,74.515,49.029,21.359,0.134,75.0,49.029,76.456,0.26,0.971,48.301,21.602,53.883,75.485,27.913,26.214,69.66,32.282,77.427,69.903,52.913,48.786,75.243,24.029,50.0,0.224,74.515,75.971,25.485,50.0
Negative_1182,0,0.549,0.461,0.068,0.495,0.136,0.141,0.485,0.485,0.485,0.485,0.078,0.485,0.136,0.136,0.223,0.137,0.485,0.316,0.112,0.485,0.374,12.621,0.22,2.427,0.796,0.248,0.127,1.456,0.22,12.621,0.015,0.359,0.971,0.971,0.248,1.456,0.272,0.263,0.088,0.267,0.971,12.621,0.49,45.631,0.257,0.244,12.621,1.942,0.971,0.229,38.35,72.816,0.529,0.971,0.093,0.505,28.641,92.718,17.961,0.063,69.417,0.229,72.33,0.073,17.961,38.835,58.252,55.34,50.971,31.068,0.234,31.068,70.874,56.796,55.34,19.903,0.093,78.155,48.544,59.709,0.341,26.699,38.835,17.476,40.291,77.67,28.155,31.068,76.699,16.019,68.447,79.612,47.087,46.602,71.845,23.301,47.087,0.244,56.796,59.709,19.903,26.214
Negative_123,0,0.455,0.334,0.145,0.399,0.247,0.113,0.052,0.052,0.052,0.052,0.187,0.052,0.305,0.247,0.282,0.164,0.052,0.298,0.227,0.052,0.42,0.103,0.165,0.155,0.765,0.326,0.238,0.103,0.251,0.103,0.029,0.317,0.155,0.258,0.326,0.103,0.309,0.23,0.219,0.357,0.258,0.103,0.333,76.796,0.275,0.24,0.827,0.258,0.258,0.227,50.336,74.47,0.392,0.258,0.183,0.377,28.475,99.793,24.91,0.122,75.866,0.222,73.695,0.205,26.925,48.475,50.491,50.956,25.22,24.186,0.245,47.907,73.953,75.917,51.68,25.323,0.18,74.935,52.196,75.297,0.281,0.775,48.475,24.548,51.473,74.78,26.46,24.186,74.419,23.773,74.16,74.987,44.393,47.855,74.264,25.013,49.096,0.232,75.917,74.367,25.736,47.442
Negative_692,0,0.562,0.534,0.088,0.596,0.209,0.056,0.282,0.282,0.282,0.282,0.099,0.282,0.161,0.209,0.331,0.139,0.282,0.229,0.142,0.282,0.359,1.695,0.085,2.26,0.859,0.212,0.144,0.847,0.164,1.695,0.017,0.359,0.847,0.565,0.212,0.847,0.226,0.295,0.113,0.24,0.565,1.695,0.432,69.209,0.192,0.269,4.237,0.565,0.565,0.17,58.475,70.904,0.458,0.565,0.108,0.48,42.373,95.48,28.814,0.085,66.667,0.215,79.944,0.116,26.271,53.39,57.91,44.35,33.898,26.836,0.184,49.718,72.034,66.667,40.113,23.729,0.119,74.294,43.503,68.927,0.292,1.695,53.39,28.814,45.198,75.424,21.186,26.836,80.226,18.927,79.379,76.836,60.452,52.825,70.904,21.751,61.582,0.218,66.667,72.316,31.638,50.565
Negative_1059,0,0.409,0.32,0.193,0.393,0.259,0.113,0.305,0.305,0.305,0.305,0.217,0.305,0.314,0.259,0.305,0.144,0.305,0.332,0.266,0.305,0.415,1.524,0.196,0.61,0.784,0.317,0.269,1.524,0.251,1.524,0.012,0.317,0.915,0.61,0.317,1.524,0.332,0.199,0.223,0.348,0.61,1.524,0.326,67.683,0.29,0.226,1.829,0.915,0.61,0.18,54.573,69.512,0.378,0.61,0.159,0.369,36.89,97.561,24.695,0.104,75.915,0.208,77.744,0.232,30.183,53.049,45.122,44.817,25.305,24.695,0.229,48.78,71.037,74.085,45.122,25.61,0.196,73.78,46.646,71.646,0.239,2.439,53.049,24.085,49.39,74.695,20.427,24.695,76.829,20.732,71.037,77.744,49.085,52.134,72.561,21.341,49.085,0.232,74.085,72.256,27.134,46.341
Negative_1247,0,0.464,0.376,0.16,0.44,0.233,0.1,0.222,0.222,0.222,0.222,0.174,0.222,0.278,0.233,0.28,0.169,0.222,0.302,0.22,0.222,0.407,0.444,0.138,2.0,0.8,0.273,0.247,0.444,0.241,0.444,0.031,0.282,1.778,0.667,0.273,0.444,0.32,0.263,0.147,0.304,0.667,0.444,0.36,70.444,0.287,0.261,1.333,0.667,0.667,0.207,47.778,78.0,0.447,2.444,0.16,0.44,20.222,93.111,25.556,0.1,70.889,0.216,74.444,0.207,26.889,43.111,52.889,42.889,30.444,22.0,0.218,54.0,72.0,72.667,46.444,22.667,0.151,76.667,45.111,80.889,0.258,1.111,43.111,24.222,48.889,74.667,23.333,22.0,70.667,22.222,77.556,74.889,58.444,53.111,71.778,19.111,53.333,0.241,72.667,78.889,30.222,52.444
Negative_878,0,0.444,0.363,0.147,0.409,0.199,0.146,0.585,0.585,0.585,0.585,0.188,0.585,0.263,0.199,0.292,0.118,0.585,0.357,0.206,0.585,0.45,1.17,0.259,5.848,0.784,0.263,0.206,1.17,0.253,1.17,0.012,0.339,2.924,2.924,0.263,1.17,0.357,0.276,0.159,0.281,2.924,1.17,0.351,74.854,0.327,0.253,1.17,2.924,2.924,0.235,70.175,73.099,0.444,2.924,0.1,0.398,26.316,95.322,35.088,0.07,71.345,0.235,58.48,0.165,35.088,43.275,40.351,42.69,21.053,25.146,0.241,50.877,74.854,74.854,40.351,22.222,0.176,69.591,42.69,75.439,0.306,2.339,43.275,35.088,53.216,73.684,14.62,25.146,76.608,24.561,71.345,73.684,53.801,50.877,74.854,15.789,52.632,0.276,74.854,75.439,34.503,52.047
Positive_1173,1,0.459,0.399,0.129,0.449,0.198,0.069,0.33,0.33,0.33,0.33,0.156,0.33,0.274,0.198,0.231,0.172,0.33,0.343,0.192,0.33,0.426,1.32,0.123,1.65,0.838,0.221,0.209,0.99,0.272,1.32,0.01,0.277,0.66,0.66,0.221,0.99,0.363,0.275,0.162,0.238,0.66,1.32,0.376,73.597,0.33,0.228,1.32,1.32,0.66,0.205,50.165,75.578,0.548,0.66,0.175,0.449,19.802,94.389,21.782,0.092,75.248,0.291,72.607,0.162,23.102,48.845,53.135,50.495,29.703,19.802,0.228,46.535,72.607,73.597,54.125,23.762,0.113,73.927,54.785,68.647,0.331,8.581,48.845,21.782,51.155,74.587,25.743,19.802,72.937,27.393,71.617,78.548,46.205,47.855,72.607,29.043,46.205,0.288,73.597,67.657,23.762,45.215
Positive_152,1,0.415,0.369,0.162,0.429,0.199,0.104,0.147,0.147,0.147,0.147,0.168,0.147,0.288,0.199,0.297,0.138,0.147,0.387,0.203,0.147,0.422,0.294,0.165,0.588,0.815,0.297,0.219,0.735,0.242,0.294,0.027,0.328,0.588,0.882,0.297,0.735,0.324,0.23,0.205,0.307,0.882,0.294,0.379,51.618,0.274,0.253,5.882,0.735,0.882,0.228,32.941,70.294,0.406,0.882,0.109,0.384,12.794,98.235,22.353,0.081,75.588,0.261,64.853,0.178,26.176,43.088,40.294,52.941,22.206,17.647,0.255,48.235,73.235,71.324,52.941,27.5,0.181,76.176,55.0,73.824,0.348,0.294,43.088,20.588,55.441,76.912,28.824,17.647,76.765,24.559,75.735,75.882,47.5,43.235,74.412,29.412,48.824,0.264,71.324,72.5,24.118,47.647
Negative_374,0,0.464,0.399,0.093,0.44,0.17,0.051,0.298,0.298,0.298,0.298,0.11,0.298,0.265,0.17,0.25,0.128,0.298,0.366,0.134,0.298,0.458,0.893,0.09,1.19,0.911,0.14,0.209,0.893,0.173,0.893,0.0,0.295,0.595,0.595,0.14,0.893,0.435,0.242,0.161,0.167,0.595,0.893,0.372,69.345,0.42,0.293,2.679,0.595,0.595,0.146,60.714,80.952,0.61,0.595,0.072,0.44,26.488,98.214,27.381,0.039,72.917,0.358,60.119,0.131,26.19,46.429,11.905,38.69,6.845,25.0,0.134,52.381,78.274,74.107,47.321,30.357,0.072,74.405,48.81,75.298,0.358,2.083,46.429,27.679,50.595,74.405,14.881,25.0,70.238,20.536,77.976,70.833,52.381,56.548,79.464,27.976,51.488,0.37,74.107,75.595,25.893,53.274
Positive_140,1,0.406,0.339,0.145,0.372,0.206,0.122,0.556,0.556,0.556,0.556,0.223,0.556,0.233,0.206,0.2,0.179,0.556,0.389,0.251,0.556,0.467,1.667,0.201,5.0,0.767,0.278,0.201,2.778,0.33,1.667,0.028,0.272,1.111,1.111,0.278,2.778,0.372,0.223,0.168,0.289,1.111,1.667,0.328,63.333,0.35,0.207,1.667,1.667,1.111,0.168,48.333,78.333,0.522,1.111,0.173,0.494,22.222,100.0,25.0,0.111,73.333,0.246,71.111,0.162,17.778,38.333,60.556,40.556,15.556,21.667,0.184,51.111,71.111,59.444,42.222,26.111,0.078,74.444,44.444,78.889,0.291,6.667,38.333,23.889,47.778,75.0,19.444,21.667,66.111,17.222,81.111,71.111,61.111,53.889,71.111,23.333,57.778,0.24,59.444,78.889,25.556,47.778
Negative_550,0,0.425,0.357,0.154,0.394,0.196,0.099,0.124,0.124,0.124,0.124,0.18,0.124,0.229,0.196,0.258,0.128,0.124,0.379,0.208,0.124,0.463,0.867,0.158,0.248,0.807,0.261,0.257,0.867,0.254,0.867,0.021,0.257,0.248,0.372,0.261,0.867,0.358,0.251,0.1,0.285,0.372,0.867,0.341,77.323,0.344,0.251,0.867,0.372,0.372,0.201,42.751,73.978,0.481,0.372,0.153,0.514,22.057,99.257,26.146,0.094,79.678,0.242,65.799,0.186,27.633,48.699,39.529,45.725,18.092,25.527,0.2,51.301,70.508,73.234,49.938,26.146,0.125,74.102,54.895,75.341,0.323,1.735,48.699,24.783,51.301,74.969,24.535,25.527,72.862,27.757,75.217,75.093,49.318,49.814,69.517,26.766,50.682,0.258,73.234,75.341,22.429,51.301
Negative_70,0,0.433,0.366,0.132,0.43,0.231,0.121,0.269,0.269,0.269,0.269,0.148,0.269,0.247,0.231,0.242,0.154,0.269,0.336,0.183,0.269,0.403,0.538,0.199,0.806,0.766,0.317,0.243,0.806,0.27,0.538,0.022,0.263,0.806,1.344,0.317,0.806,0.293,0.243,0.097,0.341,1.344,0.538,0.366,60.753,0.253,0.202,5.645,1.613,1.344,0.27,41.667,71.774,0.441,1.344,0.178,0.489,24.194,98.118,20.43,0.113,73.387,0.213,63.441,0.173,23.656,38.172,46.237,50.0,22.849,20.161,0.288,49.194,66.667,60.753,52.151,26.075,0.167,83.065,56.183,75.538,0.313,0.538,38.172,20.161,54.301,77.957,21.774,20.161,80.914,19.892,77.419,79.301,51.613,48.118,67.204,23.656,53.226,0.221,60.753,79.032,27.151,51.613
Positive_1184,1,0.377,0.31,0.181,0.329,0.197,0.118,0.231,0.231,0.231,0.231,0.248,0.231,0.252,0.197,0.141,0.118,0.231,0.426,0.271,0.231,0.475,1.852,0.193,1.157,0.766,0.35,0.232,0.926,0.387,1.852,0.026,0.271,0.463,0.463,0.35,1.157,0.338,0.223,0.148,0.352,0.463,1.852,0.329,68.287,0.322,0.123,9.722,0.694,0.463,0.241,37.037,72.917,0.509,0.463,0.181,0.477,17.13,97.222,26.852,0.116,78.009,0.186,67.824,0.202,31.713,45.37,57.176,50.0,36.806,19.213,0.26,52.778,69.907,67.593,49.769,23.843,0.121,77.315,47.222,76.389,0.323,2.546,45.37,26.157,55.556,75.231,26.389,19.213,71.991,24.769,77.083,75.0,50.926,46.296,69.907,21.759,51.852,0.195,67.593,76.62,28.009,52.083
Positive_116,1,0.429,0.381,0.106,0.401,0.157,0.103,0.321,0.321,0.321,0.321,0.18,0.321,0.276,0.157,0.186,0.138,0.321,0.413,0.193,0.321,0.465,0.641,0.174,0.962,0.804,0.276,0.232,0.962,0.299,0.641,0.013,0.285,0.962,1.282,0.276,0.962,0.337,0.277,0.167,0.282,1.282,0.641,0.378,74.679,0.324,0.222,9.295,2.244,1.282,0.209,45.513,77.564,0.538,1.282,0.138,0.439,27.885,98.718,23.718,0.093,66.026,0.293,82.372,0.113,29.167,50.321,62.821,48.077,27.564,27.885,0.209,46.795,81.731,81.09,47.436,23.077,0.09,74.038,47.115,75.0,0.376,0.641,50.321,23.718,46.795,73.077,22.115,27.885,71.154,16.346,75.641,71.154,51.603,52.885,81.731,20.192,50.641,0.299,81.09,72.756,26.603,46.795
Positive_917,1,0.408,0.346,0.165,0.389,0.253,0.118,0.117,0.117,0.117,0.117,0.186,0.117,0.251,0.253,0.297,0.163,0.117,0.339,0.209,0.117,0.416,0.816,0.169,0.699,0.759,0.311,0.216,0.233,0.226,0.816,0.034,0.304,0.35,0.233,0.311,1.865,0.322,0.261,0.145,0.332,0.233,0.816,0.331,67.016,0.3,0.2,2.214,0.233,0.233,0.209,49.883,71.329,0.392,0.35,0.179,0.445,20.163,99.65,23.193,0.124,69.697,0.214,69.58,0.188,25.641,44.289,49.184,60.373,17.832,20.28,0.223,40.21,69.58,68.182,58.625,25.291,0.182,73.427,62.821,67.483,0.271,0.816,44.289,23.31,43.823,75.874,30.303,20.28,79.604,28.205,72.611,80.886,45.338,49.068,70.629,31.702,47.203,0.23,68.182,66.667,24.242,40.21
Positive_924,1,0.399,0.33,0.182,0.376,0.249,0.138,0.079,0.079,0.079,0.079,0.197,0.079,0.223,0.249,0.272,0.153,0.079,0.352,0.224,0.079,0.43,0.236,0.202,0.157,0.729,0.356,0.194,0.157,0.279,0.236,0.041,0.308,0.157,0.236,0.356,0.157,0.295,0.26,0.148,0.375,0.315,0.236,0.321,72.699,0.268,0.204,0.236,0.236,0.315,0.243,50.747,75.61,0.372,0.236,0.184,0.469,20.22,99.921,35.799,0.134,78.914,0.187,75.138,0.22,32.258,51.062,47.679,37.766,20.299,24.626,0.263,58.222,74.823,74.272,41.699,26.593,0.181,77.577,39.732,80.645,0.268,0.944,51.062,37.923,58.065,75.216,20.85,24.626,70.81,25.02,77.577,70.653,57.278,51.534,74.194,20.928,54.288,0.205,74.272,81.117,27.931,59.402
Positive_632,1,0.372,0.306,0.189,0.36,0.253,0.145,0.152,0.152,0.152,0.152,0.209,0.152,0.273,0.253,0.25,0.134,0.152,0.375,0.247,0.152,0.456,0.457,0.203,0.305,0.745,0.328,0.206,0.305,0.276,0.457,0.035,0.296,0.305,0.762,0.328,0.305,0.345,0.229,0.154,0.349,0.762,0.457,0.291,67.835,0.312,0.224,0.61,0.457,0.762,0.205,49.543,71.799,0.422,0.762,0.163,0.431,21.951,99.695,28.963,0.11,78.811,0.194,71.646,0.227,29.573,50.915,49.695,48.171,25.305,23.933,0.221,51.22,75.457,69.36,41.463,26.829,0.154,75.915,46.341,77.439,0.253,0.915,50.915,28.354,51.829,75.762,17.988,23.933,74.085,18.902,79.726,70.427,57.165,49.238,74.543,17.683,54.726,0.223,69.36,77.287,29.421,49.848
Positive_320,1,0.432,0.369,0.174,0.436,0.263,0.114,0.424,0.424,0.424,0.424,0.196,0.424,0.292,0.263,0.288,0.187,0.424,0.305,0.234,0.424,0.403,5.932,0.183,2.966,0.797,0.254,0.281,1.695,0.247,5.932,0.013,0.263,1.271,0.847,0.254,3.814,0.343,0.226,0.179,0.288,0.847,5.932,0.335,75.847,0.309,0.251,5.932,0.847,0.847,0.183,46.186,75.0,0.458,0.847,0.157,0.445,26.695,92.797,30.085,0.089,78.39,0.238,74.576,0.209,33.051,54.661,50.0,47.458,27.966,26.695,0.187,55.932,76.695,75.424,39.407,23.729,0.136,71.61,34.746,77.119,0.251,14.831,54.661,30.085,56.78,73.729,16.949,26.695,69.068,20.339,79.237,70.763,55.932,45.763,74.576,12.712,51.695,0.243,75.424,75.424,30.932,52.542
Negative_64,0,0.579,0.513,0.04,0.539,0.158,0.026,1.316,1.316,1.316,1.316,0.08,1.316,0.158,0.158,0.355,0.173,1.316,0.263,0.107,1.316,0.434,10.526,0.053,9.211,0.921,0.118,0.16,3.947,0.133,18.421,0.0,0.355,2.632,2.632,0.118,3.947,0.342,0.267,0.107,0.145,2.632,18.421,0.408,59.211,0.342,0.373,28.947,6.579,2.632,0.16,50.0,72.368,0.526,2.632,0.107,0.487,35.526,63.158,36.842,0.053,82.895,0.293,28.947,0.093,26.316,50.0,28.947,39.474,63.158,34.211,0.133,61.842,59.211,69.737,31.579,23.684,0.08,80.263,40.789,78.947,0.28,35.526,50.0,36.842,46.053,75.0,17.105,34.211,60.526,21.053,75.0,73.684,46.053,51.316,63.158,17.105,56.579,0.32,69.737,78.947,36.842,61.842
Positive_209,1,0.358,0.293,0.216,0.369,0.275,0.103,0.166,0.166,0.166,0.166,0.202,0.166,0.31,0.275,0.281,0.151,0.166,0.368,0.259,0.166,0.455,0.662,0.174,1.49,0.796,0.303,0.262,0.331,0.262,0.662,0.015,0.276,0.331,0.497,0.303,0.331,0.373,0.202,0.199,0.334,0.497,0.662,0.27,71.523,0.328,0.211,6.291,2.483,0.497,0.202,41.887,73.344,0.416,0.497,0.164,0.414,25.662,99.834,22.185,0.101,73.841,0.222,78.146,0.245,20.695,44.868,54.967,49.007,35.596,25.497,0.235,48.344,73.675,67.55,49.669,24.007,0.176,77.318,46.854,73.841,0.257,0.662,44.868,23.344,49.338,74.007,23.179,25.497,79.967,20.53,76.49,79.967,54.47,50.331,72.02,22.351,51.987,0.235,67.55,75.497,25.828,49.338
Positive_314,1,0.498,0.431,0.126,0.469,0.183,0.096,0.107,0.107,0.107,0.107,0.146,0.107,0.2,0.183,0.299,0.113,0.107,0.318,0.17,0.107,0.454,0.322,0.144,0.214,0.815,0.254,0.205,0.322,0.207,0.322,0.013,0.35,0.429,0.214,0.254,0.322,0.301,0.312,0.121,0.268,0.214,0.322,0.362,78.671,0.277,0.254,0.322,0.857,0.214,0.201,63.451,77.921,0.447,0.214,0.149,0.449,28.939,97.642,33.333,0.089,80.707,0.222,71.275,0.175,32.797,64.416,39.871,42.551,21.543,34.405,0.214,63.237,78.349,83.065,39.979,26.688,0.152,73.633,40.193,83.065,0.293,0.536,64.416,32.476,62.272,74.812,18.757,34.405,65.059,20.364,77.17,61.308,60.879,52.519,79.314,19.936,54.555,0.231,83.065,83.173,25.295,64.523
Negative_225,0,0.517,0.45,0.16,0.49,0.205,0.079,0.662,0.662,0.662,0.662,0.127,0.662,0.232,0.205,0.364,0.14,0.662,0.278,0.167,0.662,0.457,2.649,0.12,1.325,0.841,0.205,0.153,1.987,0.18,3.974,0.013,0.404,1.325,3.974,0.205,1.987,0.311,0.293,0.207,0.238,2.649,3.974,0.338,58.94,0.305,0.313,3.974,3.974,4.636,0.207,41.06,62.914,0.43,3.974,0.12,0.364,23.841,94.702,19.868,0.079,78.146,0.267,53.642,0.213,19.868,41.06,19.205,51.656,14.57,15.894,0.193,48.344,59.603,64.238,47.682,27.152,0.14,74.172,56.954,74.172,0.34,8.609,41.06,19.868,49.669,75.497,27.152,15.894,77.483,20.53,78.808,78.808,47.02,41.06,58.94,33.113,52.318,0.307,64.238,74.172,30.464,48.344
Positive_974,1,0.4,0.316,0.189,0.368,0.243,0.101,0.081,0.081,0.081,0.081,0.191,0.081,0.294,0.243,0.27,0.134,0.081,0.358,0.23,0.081,0.424,0.243,0.15,2.346,0.802,0.283,0.235,0.243,0.246,0.243,0.023,0.315,0.162,0.162,0.283,0.243,0.377,0.207,0.165,0.307,0.162,0.243,0.333,71.764,0.349,0.223,2.994,0.243,0.162,0.175,55.906,74.595,0.447,0.162,0.145,0.392,34.466,99.838,23.382,0.097,71.602,0.215,77.427,0.223,23.786,48.948,55.259,52.508,34.951,26.78,0.194,45.631,76.942,70.307,49.515,21.926,0.139,71.278,49.515,71.036,0.262,1.942,48.948,22.816,47.006,74.757,21.117,26.78,77.427,24.029,75.243,78.479,47.411,50.971,76.78,17.799,50.324,0.246,70.307,70.955,26.861,45.227
Positive_1190,1,0.276,0.214,0.155,0.235,0.286,0.194,1.02,1.02,1.02,1.02,0.299,1.02,0.235,0.286,0.184,0.124,1.02,0.439,0.32,1.02,0.459,4.082,0.289,7.143,0.622,0.449,0.175,4.082,0.34,4.082,0.062,0.204,2.041,2.041,0.449,4.082,0.327,0.258,0.093,0.459,2.041,4.082,0.255,91.837,0.316,0.196,4.082,5.102,2.041,0.165,79.592,80.612,0.367,2.041,0.175,0.561,39.796,93.878,21.429,0.184,66.327,0.206,69.388,0.165,17.347,62.245,40.816,55.102,11.224,30.612,0.165,50.0,83.673,89.796,32.653,21.429,0.124,74.49,24.49,74.49,0.289,25.51,62.245,20.408,23.469,66.327,32.653,30.612,67.347,12.245,68.367,58.163,45.918,51.02,79.592,12.245,45.918,0.227,89.796,72.449,17.347,46.939
